day,Close,Open,High,Low,Volume,volume_std,ROC,close_std,close_m,,,,,,,
6/24/2009,2415,2354,2420,2343,1120000,-0.032637365,,-1.531206003,241.5,,,,,,,
6/25/2009,2399,2411,2429,2357,1130000,-0.014093015,-0.006625259,-1.567036681,239.9,,,,,,,
6/26/2009,2388,2414,2433,2375,859960,-0.514864642,-0.004585244,-1.591670273,238.8,,,,,mu_volume,,sd_volume
6/29/2009,2432,2373,2442,2366,878960,-0.479630377,0.018425461,-1.493135907,243.2,,,,,1137599.628,,539247.8038
6/30/2009,2398,2432,2443,2385,1040000,-0.180992165,-0.013980263,-1.569276099,239.8,,,,,mu_close,,sd_close
7/1/2009,2442,2402,2457,2392,998630,-0.257710141,0.018348624,-1.470741733,244.2,,,,,3098.751943,,446.5447116
7/2/2009,2369,2420,2433,2355,1190000,0.097173085,-0.02989353,-1.634219204,236.9,,,,,,,
7/6/2009,2343,2353,2358,2319,959300,-0.33064507,-0.010975095,-1.692444056,234.3,,,,,,,
7/7/2009,2312,2351,2366,2296,980570,-0.291201237,-0.013230901,-1.761865996,231.2,,,,,,,
7/8/2009,2282,2295,2317,2270,1130000,-0.014093015,-0.012975779,-1.829048518,228.2,,,,,,,
7/9/2009,2304,2291,2334,2291,958310,-0.33248096,0.009640666,-1.779781335,230.4,,,,,,,
7/10/2009,2273,2295,2310,2269,911280,-0.419695038,-0.013454861,-1.849203275,227.3,,,,,,,
7/13/2009,2333,2265,2362,2252,1230000,0.171350484,0.026396832,-1.71483823,233.3,,,,,,,
7/14/2009,2362,2355,2379,2340,1130000,-0.014093015,0.012430347,-1.649895126,236.2,,,,,,,
7/15/2009,2443,2390,2461,2383,1290000,0.282616584,0.034292972,-1.468502316,244.3,,,,,,,
7/16/2009,2458,2440,2493,2434,1300000,0.301160934,0.006139992,-1.434911055,245.8,,,,,,,
7/17/2009,2471,2482,2487,2453,902100,-0.436718751,0.005288853,-1.405798628,247.1,,,,,,,
7/20/2009,2497,2498,2511,2481,782560,-0.658397911,0.010522056,-1.347573776,249.7,,,,,,,
7/21/2009,2518,2512,2548,2495,1080000,-0.106814765,0.008410092,-1.30054601,251.8,,,,,,,
7/22/2009,2521,2529,2538,2493,864810,-0.505870633,0.001191422,-1.293827758,252.1,,,,,,,
7/23/2009,2584,2534,2600,2518,1120000,-0.032637365,0.024990083,-1.152744461,258.4,,,,,,,
7/24/2009,2579,2575,2613,2566,1030000,-0.199536515,-0.001934985,-1.163941548,257.9,,,,,,,
7/27/2009,2595,2619,2633,2578,844800,-0.542977877,0.006203955,-1.12811087,259.5,,,,,,,
7/28/2009,2570,2615,2624,2561,1040000,-0.180992165,-0.009633911,-1.184096305,257,,,,,,,
7/29/2009,2597,2592,2618,2551,1060000,-0.143903465,0.010505837,-1.123632035,259.7,,,,,,,
7/30/2009,2657,2624,2667,2600,1230000,0.171350484,0.023103581,-0.989266991,265.7,,,,,,,
7/31/2009,2636,2642,2668,2622,1060000,-0.143903465,-0.007903651,-1.036294756,263.6,,,,,,,
8/3/2009,2673,2651,2695,2629,914600,-0.413538314,0.014036419,-0.953436312,267.3,,,,,,,
8/4/2009,2669,2669,2684,2643,893130,-0.453353033,-0.001496446,-0.962393982,266.9,,,,,,,
8/5/2009,2643,2675,2688,2630,961650,-0.326287147,-0.009741476,-1.020618834,264.3,,,,,,,
8/6/2009,2660,2663,2685,2638,773340,-0.675495802,0.006432085,-0.982548738,266,,,,,,,
8/7/2009,2706,2650,2718,2634,1090000,-0.088270415,0.017293233,-0.879535538,270.6,,,,,,,
8/10/2009,2690,2691,2697,2675,556810,-1.077036612,-0.005912786,-0.915366216,269,,,,,,,
8/11/2009,2651,2700,2712,2641,950390,-0.347168085,-0.014498141,-1.002703495,265.1,,,,,,,
8/12/2009,2686,2658,2705,2628,925830,-0.392713009,0.013202565,-0.924323886,268.6,,,,,,,
8/13/2009,2704,2690,2734,2685,1020000,-0.218080865,0.006701415,-0.884014372,270.4,,,,,,,
